geo_point_2d;geo_shape;insee;ident;siret;infor;adresse;exploit;th_heur;th_nuit;ta_moivel;th_quar;th_10;np_pmr;ta_type;ta_nres7j;ta_titul;libres;np_veltot;np_2rele;np_hgsup;np_stlav;np_covoit;prepaye;nb_niv;th_4;ta_ntitul;th_3;th_2;th_24;gabari_max;mdate;url;np_vle;np_fourr;th_demi;secteur;np_global;np_velec;gid;gabari_std;titul;propr;np_mobalt;ta_handi;np_hginf;connecte;np_pr;etat;nom;total;typgest;type;an_serv;ta_resmoi;np_2rmot;cdate;np_total;tv_1h;ta_moimot
44.822652, -0.5459965;"{""coordinates"": [-0.5459965, 44.822652], ""type"": ""Point""}";33063;CUBPK85;320 229 644 05241;;16 Rue des Maraichers 33800 Bordeaux;INDIGO_PARK;1.8;17.6;;0.6;17.6;10;PAYANT_TARIF_HORAIRE;95.0;;73;0;0;0;0;0;0.0;6;8.7;;7.2;4.8;17.6;1.9;2024-10-01T08:14:53+00:00;https://fr.parkindigo.com/;3;0;1.2;CENTRE;520;0;331;1.9;INDIGO_PARK;AUTRE;0;NORMAL_PAYANT;0;1;0;LIBRE;Ars - Belcier;225;GESTION_PRIVEE;SILO;2018;95.0;14;2018-11-23T15:15:59+00:00;520;1.8;40.0
44.8261756, -0.5573939;"{""coordinates"": [-0.5573939, 44.8261756], ""type"": ""Point""}";33063;CUBPK33;453 335 069 00010;391 places parking+151 places arrêt minute mais très cher passé 2 heures de stationnement;Rue Charles Domerq 33800 Bordeaux;METPARK;10.0;;;2.5;29.0;7;PAYANT_TARIF_HORAIRE;155.0;;26;0;0;0;0;0;0.0;4;22.0;;19.2;16.4;29.0;1.8;2024-10-01T08:13:22+00:00;https://www.mtpk.fr/;2;0;5.0;CENTRE;391;0;230;1.8;METPARK;SNCF;0;NORMAL_PAYANT;0;1;0;LIBRE;Gare Saint Jean;391;CONCESSION_DE_SERVICE;ENTERRE;1990;110.0;0;2018-06-01T00:00:00+00:00;391;1.8;60.0
44.8423509, -0.5603009;"{""coordinates"": [-0.5603009, 44.8423509], ""type"": ""Point""}";33063;CUBPK79;453 335 069 00010;Abonnement 150€ mensuel: lundi à vendredi 7h à 18h30;Quai de Queyries 33100 Bordeaux;METPARK;3.2;7.8;;0.8;22.8;12;PAYANT_TARIF_HORAIRE;150.0;;;0;0;0;0;0;0.0;3;10.8;;8.4;6.0;40.0;1.9;2024-04-26T06:25:09+00:00;https://www.mtpk.fr/;0;0;1.6;CENTRE;526;0;232;1.9;METPARK;AGORA_CINEMA;0;NORMAL_PAYANT;0;0;0;OUVERT;Megarama;;GESTION_PRIVEE;ENTERRE;2016;85.0;0;2018-06-01T00:00:00+00:00;526;1.8;
44.8239922, -0.5793829;"{""coordinates"": [-0.5793829, 44.8239922], ""type"": ""Point""}";33063;CUBPK36;453 335 069 00010;40 minutes gratuites, 150 places réservées au personnel;Cours de l'Argonne 33000 Bordeaux;METPARK;2.8;;;0.0;20.0;0;PAYANT_TARIF_HORAIRE;;;74;0;0;0;0;0;0.0;3;10.4;;8.0;5.6;20.0;1.8;2024-10-01T08:14:19+00:00;https://www.mtpk.fr/;0;0;0.0;CENTRE;66;0;237;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Bergonie;133;REGIE_AUTONOME;ENTERRE;2002;;0;2018-06-01T00:00:00+00:00;66;1.8;
44.8295686, -0.5535744;"{""coordinates"": [-0.5535744, 44.8295686], ""type"": ""Point""}";33063;CUBPK78;453 335 069 00010;Vélos: 45€/an ou 10€/mois;Rue Terres de Borde 33800 Bordeaux;METPARK;2.8;6.0;10.0;0.7;20.0;12;PAYANT_TARIF_HORAIRE;110.0;;181;72;0;0;0;0;0.0;3;10.4;;8.0;5.6;20.0;2.4;2024-10-01T08:13:45+00:00;https://www.mtpk.fr/;4;0;1.4;CENTRE;565;0;239;2.4;METPARK;METPARK;0;NORMAL_PAYANT;0;1;0;LIBRE;Paludate - Saint Jean;565;REGIE_AUTONOME;SILO;2017;80.0;20;2018-06-01T00:00:00+00:00;565;1.8;45.0
44.8251902, -0.557181;"{""coordinates"": [-0.557181, 44.8251902], ""type"": ""Point""}";33063;CUBPK102;453 335 069 00010;pour plus de 2 heures l'arrêt minute est très cher Se reporter sur les places du Parking Saint Jean;Rue Charles Domerq Sud 33800 Bordeaux;METPARK;12.0;;;3.0;57.0;4;PAYANT_TARIF_HORAIRE;;;86;0;0;;0;0;0.0;1;33.0;;27.0;21.0;57.0;;2024-10-01T08:13:25+00:00;https://www.mtpk.fr/;0;0;6.0;CENTRE;104;0;723;;METPARK;SNCF;0;NORMAL_PAYANT;;1;0;LIBRE;Gare Saint Jean Arret Minute P2 Sud;105;CONCESSION_DE_SERVICE;ENTERRE;1990;;0;2021-02-10T14:03:22+00:00;104;1.8;
44.8628438, -0.5556869;"{""coordinates"": [-0.5556869, 44.8628438], ""type"": ""Point""}";33063;CUBPK100;435 272 596 01814;"vélos acceptés de 8h30 à 20h00; Propriétaire SCI Bordeaux Port Immo";1 quai Armand Lalande Bat G1 33000 Bordeaux;EFFIA_STATIONNEMENT;2.3;;;0.5;19.9;12;PAYANT_TARIF_HORAIRE;120.0;;0;100;0;0;0;0;0.0;3;9.1;;7.1;4.7;24.0;;2024-10-01T08:14:15+00:00;https://www.effia.com/parking/parking-bordeaux-bassins-flot-effia;10;0;1.1;CENTRE;536;0;663;;AUTRE;AUTRE;0;NORMAL_PAYANT;0;1;0;LIBRE;Bassins À Flots;250;GESTION_PRIVEE;SILO;2020;120.0;10;2020-10-21T15:02:22+00:00;536;1.8;60.0
44.8197814, -0.5613722;"{""coordinates"": [-0.5613722, 44.8197814], ""type"": ""Point""}";33063;CUBPK109;453 335 069 00010;ouverture le 13/10/22;3 rue des Echoppes 33800 Bordeaux;METPARK;2.8;6.0;;0.7;20.0;14;PAYANT_TARIF_HORAIRE;105.0;;150;0;0;0;0;0;0.0;3;10.4;;8.0;5.6;20.0;2.0;2024-10-01T08:13:43+00:00;https://www.mtpk.fr/;30;0;1.4;CENTRE;632;0;1583;2.0;METPARK;METPARK;0;NORMAL_PAYANT;0;1;0;LIBRE;Amedee St Germain;532;REGIE_AUTONOME;MIXTE;2022;80.0;7;2022-03-21T09:18:59+00:00;632;1.8;
44.8358466, -0.5523336;"{""coordinates"": [-0.5523336, 44.8358466], ""type"": ""Point""}";33063;CUBPK113;320 229 644 05241;ouverture le 1er avril 2024;19 rue de la Garonne;INDIGO_PARK;2.4;;;0.6;21.0;3;PAYANT_TARIF_HORAIRE;130.0;;250;0;0;0;0;0;0.0;1;9.6;;7.2;4.8;21.0;1.9;2024-10-01T08:14:55+00:00;https://fr.parkindigo.com/parkings-france/bordeaux;6;0;1.2;PERIPHERIE;110;0;1773;1.9;INDIGO_PARK;AUTRE;0;NORMAL_PAYANT;;1;0;LIBRE;Belvedere Indigo Park;400;GESTION_PRIVEE;ENTERRE;2024;;0;2024-04-04T09:45:33+00:00;110;0.0;
44.8753791, -0.5444684;"{""coordinates"": [-0.5444684, 44.8753791], ""type"": ""Point""}";33063;CUBPK44;80822705200012;forfait court-séjour, 3.5€ pour tous les occupants du VL;Boulevard Albert Brandenburg 33000 Bordeaux;KEOLIS;3.5;;0.0;3.5;3.5;6;PAYANT_TARIF_PARC_RELAIS;;0.0;0;20;0;0;0;5;0.0;1;3.5;3.5;3.5;3.5;;2.1;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;0;0;3.5;PERIPHERIE;211;0;244;2.1;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;211;COMPLET;Parc-Relais Brandenburg;211;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2009;;20;2018-06-01T00:00:00+00:00;211;0.0;
44.8557026, -0.5630087;"{""coordinates"": [-0.5630087, 44.8557026], ""type"": ""Point""}";33063;CUBPK14;37888823401562;;Quai des Chartrons 33000 Bordeaux;Q_PARK;3.2;8.0;0.0;0.9;25.5;23;PAYANT_TARIF_HORAIRE;135.0;;350;90;0;0;0;0;0.0;4;11.7;;9.6;6.4;30.5;1.9;2024-10-01T08:13:06+00:00;https://www.q-park.fr/fr-fr/villes/bordeaux/bord-eau-village/;10;0;1.8;CENTRE;540;0;245;1.9;Q_PARK;AUTRE;0;NORMAL_PAYANT;0;1;0;LIBRE;Bord'Eau Village;540;GESTION_PRIVEE;SILO;2005;135.0;10;2018-06-01T00:00:00+00:00;540;1.8;135.0
44.8504981, -0.5575195;"{""coordinates"": [-0.5575195, 44.8504981], ""type"": ""Point""}";33063;CUBPK92;692 051 113 00102;Parking de BMA, Bordeaux Métropole Amenagement, abonnés pour le moment;105 quai des Queyries 33100 Bordeaux;INTERPARKING;;;;;;5;PAYANT_RESERVE_ABONNES;60.0;;;0;0;0;0;0;0.0;1;;;;;;1.95;2024-04-02T07:33:51+00:00;https://www.interparking-france.com/fr-FR/find-parking/ParkingBastideNiel/;0;0;;CENTRE;248;0;464;1.95;INTERPARKING;AUTRE;0;NORMAL_PAYANT;0;0;0;OUVERT;Bastide Niel;;GESTION_PRIVEE;SURFACE;2018;60.0;0;2019-02-22T15:07:51+00:00;248;0.0;
44.8631962, -0.5785125;"{""coordinates"": [-0.5785125, 44.8631962], ""type"": ""Point""}";33063;CUBPK95;453 335 069 00010;Vélos: 35€/an ou 5€/mois;Rue François Lévêque 33000 Bordeaux;METPARK;2.8;6.0;10.0;0.7;20.0;8;PAYANT_TARIF_HORAIRE;100.0;;136;108;0;0;0;0;0.0;4;10.4;;8.0;5.6;20.0;2.0;2024-10-01T08:14:31+00:00;https://www.mtpk.fr/;7;0;1.4;CENTRE;349;0;593;2.0;METPARK;METPARK;0;NORMAL_PAYANT;0;1;0;LIBRE;Grand Parc;371;REGIE_AUTONOME;SILO;2019;75.0;13;2019-12-09T14:54:27+00:00;349;1.8;35.0
44.8918038, -0.669668;"{""coordinates"": [-0.669668, 44.8918038], ""type"": ""Point""}";33162;CUBPK97;80822705200012;abonnement annuel Riverain nocturne 300€ et forfait court-séjour, 3.5€ pour tous les occupants du VL. 476 places ouvertes à mi2023 sur 622 au total;Avenue du Taillan-Médoc 33320 Eysines;KEOLIS;3.5;;;3.5;3.5;12;PAYANT_TARIF_PARC_RELAIS;;0.0;358;24;0;0;0;0;0.0;4;3.5;3.5;3.5;3.5;;1.9;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;20;0;3.5;PERIPHERIE;656;0;623;2.9;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;656;LIBRE;Parc-Relais Cantinolle;476;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SILO;2020;;17;2020-03-02T15:09:08+00:00;656;0.0;
